Function,Type,Operation,ASCII,Support
,Write,Color -,<CR>*color=-#<CR>,Yes
,Read,Color value,<CR>*color=?#<CR>,Yes
,Write,Sharpness +,<CR>*sharp=+#<CR>,Yes
,Write,Sharpness -,<CR>*sharp=-#<CR>,Yes
,Read,Sharpness value,<CR>*sharp=?#<CR>,Yes
,Write,Color Temperature-Warmer,<CR>*ct=warmer#<CR>,No
,Write,Color Temperature-Warm,<CR>*ct=warm#<CR>,Yes
,Write,Color Temperature-Normal,<CR>*ct=normal#<CR>,Yes
,Write,Color Temperature-Cool,<CR>*ct=cool#<CR>,Yes
,Write,Color Temperature-Cooler,<CR>*ct=cooler#<CR>,No
,Read,Color Temperature Status,<CR>*ct=?#<CR>,Yes
,Write,Aspect 4:3,<CR>*asp=4:3#<CR>,Yes
,Write,Aspect 16:9,<CR>*asp=16:9#<CR>,No
,Write,Aspect 16:10,<CR>*asp=16:10#<CR>,No
,Write,Aspect Auto,<CR>*asp=AUTO#<CR>,Yes
,Write,Aspect Real,<CR>*asp=REAL#<CR>,Yes
,Write,Aspect Letterbox,<CR>*asp=LBOX#<CR>,Yes
,Write,Aspect Wide,<CR>*asp=WIDE#<CR>,Yes
,Write,Aspect Anamorphic,<CR>*asp=ANAM#<CR>,Yes
,Read,Aspect Status,<CR>*asp=?#<CR>,Yes
,Write,Digital Zoom In,<CR>*zoomI#<CR>,Yes
,Write,Digital Zoom out,<CR>*zoomO#<CR>,Yes
,Write,Auto,<CR>*auto#<CR>,Yes
,Write,Brilliant color on,<CR>*BC=on#<CR>,Yes
,Write,Brilliant color off,<CR>*BC=off#<CR>,Yes
,Read,Brilliant color status,<CR>*BC=?#<CR>,Yes
Operation settings,Write,Projector Position-Front Table,<CR>*pp=FT#<CR>,Yes
,Write,Projector Position-Rear Table,<CR>*pp=RE#<CR>,Yes
,Write,Projector Position-Rear Ceiling,<CR>*pp=RC#<CR>,Yes
,Write,Projector Position-Front Ceiling,<CR>*pp=FC#<CR>,Yes
,Read,Projector Position Status,<CR>*pp=?#<CR>,Yes
,Write,Quick auto search,<CR>*QAS=on#<CR>,Yes
,Write,Quick auto search,<CR>*QAS=off#<CR>,Yes
,Read,Quick auto search status,<CR>*QAS=?#<CR>,Yes
,Write,Direct Power On-on,<CR>*directpower=on#<CR>,No
,Write,Direct Power On-off,<CR>*directpower=off#<CR>,No
,Read,Direct Power On-Status,<CR>*directpower=?#<CR>,No
,Write,Signal Power On-on,<CR>*autopower=on#<CR>,No
,Write,Signal Power On-off,<CR>*autopower=off#<CR>,No
,Read,Signal Power On-Status,<CR>*autopower=?#<CR>,No
,Write,Standby Settings-Network on,<CR>*standbynet=on#<CR>,No
,Write,Standby Settings-Network off,<CR>*standbynet=off#<CR>,No
,Read,Standby Settings-Network Status,<CR>*standbynet=?#<CR>,No
,Write,Standby Settings-Microphone on,<CR>*standbymic=on#<CR>,No
,Write,Standby Settings-Microphone off,<CR>*standbymic=off#<CR>,No
,Read,Standby Settings-Microphone Status,<CR>*standbymic=?#<CR>,No
,Write,Standby Settings-Monitor Out on,<CR>*standbymnt=on#<CR>,No
,Write,Standby Settings-Monitor Out off,<CR>*standbymnt=off#<CR>,No
,Read,Standby Settings-Monitor Out Status,<CR>*standbymnt=?#<CR>,No
Baud rate,Write,2400,<CR>*baud=2400#<CR>,Yes
,Write,4800,<CR>*baud=4800#<CR>,Yes
,Write,9600,<CR>*baud=9600#<CR>,Yes
,Write,14400,<CR>*baud=14400#<CR>,Yes
,Write,19200,<CR>*baud=19200#<CR>,Yes
,Write,38400,<CR>*baud=38400#<CR>,Yes
,Write,57600,<CR>*baud=57600#<CR>,Yes
,Write,115200,<CR>*baud=115200#<CR>,Yes
,Read,Current Baud Rate,<CR>*baud=?#<CR>,Yes
Lamp Control,Read,Lamp Hour,<CR>*ltim=?#<CR>,Yes
,Read,Lamp2 Hour,<CR>*ltim2=?#<CR>,No
,Write,Normal mode,<CR>*lampm=lnor#<CR>,Yes
,Write,Eco mode,<CR>*lampm=eco#<CR>,Yes
,Write,Smart Eco mode,<CR>*lampm=seco#<CR>,Yes
,Write,Dual Brightest,<CR>*lampm=dualbr#<CR>,No
,Write,Dual Reliable,<CR>*lampm=dualre#<CR>,No
,Write,Single Alternative,<CR>*lampm=single#<CR>,No
,Write,Single Alternative Eco,<CR>*lampm=singleeco#<CR>,No
,Read,Lamp Mode Status,<CR>*lampm=?#<CR>,Yes
Miscellaneous,Read,Model Name,<CR>*modelname=?#<CR>,Yes
,Write,Blank On,<CR>*blank=on#<CR>,Yes
,Write,Blank Off,<CR>*blank=off#<CR>,Yes
,Read,Blank Status,<CR>*blank=?#<CR>,Yes
,Write,Freeze On,<CR>*freeze=on#<CR>,Yes
,Write,Freeze Off,<CR>*freeze=off#<CR>,Yes
,Read,Freeze Status,<CR>*freeze=?#<CR>,Yes
,Write,Menu On,<CR>*menu=on#<CR>,Yes
,Write,Menu Off,<CR>*menu=off#<CR>,Yes
,Write,Up,<CR>*up#<CR>,Yes
,Write,Down,<CR>*down#<CR>,Yes
,Write,Right,<CR>*right#<CR>,Yes
,Write,Left,<CR>*left#<CR>,Yes
,Write,Enter,<CR>*enter#<CR>,Yes
,Write,3D Sync Off,<CR>*3d=off#<CR>,Yes
,Write,3D Auto,<CR>*3d=auto#<CR>,Yes
,Write,3D Sync Top Bottom,<CR>*3d=tb#<CR>,Yes
,Write,3D Sync Frame Sequential,<CR>*3d=fs#<CR>,Yes
,Write,3D Frame packing,<CR>*3d=fp#<CR>,Yes
,Write,3D Side by side,<CR>*3d=sbs#<CR>,Yes
,Write,3D inverter disable,<CR>*3d=da#<CR>,Yes
,Write,3D inverter,<CR>*3d=iv#<CR>,Yes
,Write,2D to 3D,<CR>*3d=2d3d#<CR>,No
,Read,3D Sync Status,<CR>*3d=?#<CR>,Yes
,Write,Remote Receiver-front+rear (front+top）,<CR>*rr=fr#<CR>,No
,Write,Remote Receiver-front,<CR>*rr=f#<CR>,No
,Write,Remote Receiver-rear(top),<CR>*rr=r#<CR>,No
,Read,Remote Receiver Status,<CR>*rr=?#<CR>,No
,Write,Instant On-on,<CR>*ins=on#<CR>,No
,Write,Instant On-off,<CR>*ins=off#<CR>,No
,Read,Instant On Status,<CR>*ins=?#<CR>,No
,Write,Lamp Saver Mode-on,<CR>*lpsaver=on#<CR>,No
,Write,Lamp Saver Mode-off,<CR>*lpsaver=off#<CR>,No
,Read,Lamp Saver Mode Status,<CR>*lpsaver=?#<CR>,No
,Write,Projection Log In Code on,<CR>*prjlogincode=on#<CR>,No
,Write,Projection Log In Code off,<CR>*prjlogincode=off#<CR>,No
,Read,Projection Log In Code Status,<CR>*prjlogincode=?#<CR>,No
,Write,Broadcasting on,<CR>*broadcasting=on#<CR>,No
,Write,Broadcasting off,<CR>*broadcasting=off#<CR>,No
,Read,Broadcasting Status,<CR>*broadcasting=?<CR>,No
,Write,AMX Device Discovery-on,<CR>*amxdd=on#<CR>,No
,Write,AMX Device Discovery-off,<CR>*amxdd=off#<CR>,No
,Read,AMX Device Discovery Status,<CR>*amxdd=?#<CR>,No
,Read,Mac Address,<CR>*macaddr=?#<CR>,No
,Write,High Altitude mode on,<CR>*Highaltitude=on#<CR>,Yes
,Write,High Altitude mode off,<CR>*Highaltitude=off#<CR>,Yes
,Read,High Altitude mode status,<CR>*Highaltitude=?#<CR>,Yes
